transaction_id,items
T1,"Hammer, Nails Pack"
T2,"Drill Machine, Screwdriver Set, Safety Gloves"
T3,"Hammer, Paint Brush, Sandpaper"
T4,"Drill Machine, Measuring Tape, Wrench Set"
T5,"Hammer, Toolbox, Nails Pack"
T6,"Hammer, Drill Machine, Paint Brush"
T7,"Wrench Set, Toolbox"
T8,"Hammer, Nails Pack, Screwdriver Set"
T9,"Drill Machine, Measuring Tape, Safety Gloves"
T10,"Hammer, Nails Pack, Paint Brush"
T11,"Hammer, Wrench Set, Toolbox"
T12,"Drill Machine, Safety Gloves"
T13,"Hammer, Drill Machine, Screwdriver Set"
T14,"Hammer, Paint Brush, Sandpaper, Toolbox"
T15,"Hammer, Nails Pack, Toolbox"
T16,"Drill Machine, Wrench Set, Safety Gloves"
T17,"Hammer, Paint Brush, Screwdriver Set"
T18,"Drill Machine, Nails Pack, Toolbox"
T19,"Hammer, Measuring Tape"
T20,"Hammer, Paint Brush, Sandpaper, Nails Pack"
T21,"Drill Machine, Hammer, Toolbox"
T22,"Hammer, Wrench Set"
T23,"Hammer, Paint Brush, Toolbox"
T24,"Drill Machine, Safety Gloves, Screwdriver Set"
T25,"Hammer, Nails Pack, Drill Machine"
