transaction_id,items
T1,"Big Mac, Fries, Coke"
T2,"Cheeseburger, Fries, Coke"
T3,"Big Mac, Fries, Coke, McFlurry"
T4,"Big Mac, Fries, Chicken Nuggets, Coke"
T5,"Big Mac, Fries, Apple Pie"
T6,"Big Mac, Fries, Iced Coffee"
T7,"Big Mac, Cheeseburger, Fries"
T8,"Big Mac, Hash Browns, Iced Coffee"
T9,"McChicken, Fries, Coke"
T10,"Big Mac, Fries, McFlurry"
T11,"Big Mac, Fries, Coke, McFlurry"
T12,"Cheeseburger, Fries, Coke"
T13,"Big Mac, Chicken Nuggets, Coke"
T14,"Big Mac, Fries, Apple Pie, Coke"
T15,"Fries, McFlurry, Iced Coffee"
T16,"Big Mac, Fries, Coke"
T17,"Cheeseburger, Coke"
T18,"Big Mac, Fries, Coke, Apple Pie"
T19,"Big Mac, Fries, Coke, Chicken Nuggets"
T20,"McChicken, Fries, Iced Coffee"
T21,"Big Mac, Fries, Hash Browns"
T22,"Big Mac, McFlurry, Coke"
T23,"Big Mac, Cheeseburger, Apple Pie"
T24,"Fries, Coke, Iced Coffee"
T25,"Big Mac, Fries, Coke, McFlurry"
