transaction_id,items
T1,"Stranger Things, Money Heist"
T2,"Breaking Bad, The Witcher, Peaky Blinders"
T3,"Friends, Lucifer"
T4,"Stranger Things, Lucifer, Wednesday"
T5,"Money Heist, Breaking Bad"
T6,"The Crown, Dark, Lucifer"
T7,"Breaking Bad, Peaky Blinders, The Witcher"
T8,"Friends, Lucifer, The Crown"
T9,"Dark, The Witcher"
T10,"Stranger Things, Friends, Lucifer"
T11,"Money Heist, Breaking Bad, The Witcher"
T12,"Lucifer, Peaky Blinders, Dark"
T13,"The Crown, Wednesday, Friends"
T14,"Money Heist, The Witcher"
T15,"Breaking Bad, Lucifer"
T16,"Friends, Stranger Things"
T17,"Money Heist, Breaking Bad, Peaky Blinders"
T18,"The Crown, Lucifer"
T19,"Dark, The Witcher, Money Heist"
T20,"Friends, Lucifer, Wednesday"
T21,"The Witcher, Peaky Blinders"
T22,"Friends, Lucifer, The Crown"
T23,"Breaking Bad, Dark"
T24,"Money Heist, Lucifer"
T25,"Friends, Wednesday"
