transaction_id,items
T1,"Cappuccino, Muffin"
T2,"Latte, Bagel"
T3,"Espresso, Brownie"
T4,"Iced Coffee, Croissant"
T5,"Latte, Brownie, Croissant"
T6,"Cappuccino, Sandwich"
T7,"Green Tea, Muffin"
T8,"Iced Coffee, Muffin"
T9,"Espresso, Brownie, Muffin"
T10,"Latte, Croissant"
T11,"Cappuccino, Muffin, Croissant"
T12,"Latte, Brownie"
T13,"Green Tea, Bagel"
T14,"Iced Coffee, Muffin, Brownie"
T15,"Espresso, Croissant"
T16,"Latte, Muffin"
T17,"Cappuccino, Brownie"
T18,"Iced Coffee, Bagel"
T19,"Latte, Croissant, Brownie"
T20,"Cappuccino, Muffin, Bagel"
T21,"Cappuccino, Iced Coffee, Croissant"
T22,"Latte, Bagel, Brownie"
T23,"Green Tea, Croissant, Muffin"
T24,"Espresso, Brownie, Latte"
T25,"Cappuccino, Muffin, Croissant"
